producto,categoria,stock,precio
Tablet,Electrónica,45.0,7084.9
Laptop,Accesorios,155.0,6608.81
Monitor,Accesorios,211.0,1527.68
Tablet,Accesorios,20.0,
Monitor,Electrónica,181.0,16345.72
Laptop,Accesorios,124.0,8301.33
Tablet,Electrónica,430.0,2570.22
Tablet,Electrónica,53.0,17299.69
Mouse,Accesorios,89.0,13805.86
Mouse,Electrónica,30.0,12092.46
Tablet,Accesorios,46.0,5541.03
Laptop,,80.0,2547.05
Mouse,Electrónica,185.0,10029.74
Mouse,Electrónica,382.0,19622.61
,,92.0,2491.26
Teclado,Electrónica,267.0,14332.24
Mouse,Electrónica,31.0,1928.24
Mouse,Accesorios,357.0,10196.17
Tablet,Electrónica,427.0,6464.73
Teclado,Electrónica,76.0,6443.97
Tablet,,93.0,13336.96
Tablet,Electrónica,480.0,10862.11
Monitor,Accesorios,,6891.62
Tablet,Accesorios,255.0,18770.49
Teclado,Electrónica,380.0,8736.74
Monitor,Accesorios,88.0,12428.01
Teclado,Electrónica,354.0,1303.08
Monitor,Electrónica,329.0,17756.23
Mouse,Accesorios,84.0,4594.45
Laptop,Electrónica,71.0,9744.18
Monitor,Electrónica,226.0,10899.51
Laptop,Accesorios,462.0,13417.88
Teclado,Electrónica,138.0,10635.26
Teclado,Electrónica,433.0,6780.19
,Accesorios,220.0,
Laptop,Electrónica,91.0,2765.35
Monitor,,137.0,14760.09
Tablet,Accesorios,471.0,
Laptop,Electrónica,2.0,11228.62
Monitor,Electrónica,154.0,16140.75
Tablet,Electrónica,482.0,8968.79
Tablet,Electrónica,128.0,12070.93
Monitor,Accesorios,236.0,
,Accesorios,284.0,
Laptop,,317.0,
Laptop,Accesorios,218.0,4195.61
Mouse,Electrónica,453.0,18012.41
Laptop,Electrónica,65.0,19079.42
Mouse,,,10640.93
Teclado,Electrónica,400.0,8211.82
Mouse,Accesorios,,18599.91
Teclado,Accesorios,407.0,2722.9
Mouse,Accesorios,330.0,11747.05
Tablet,Electrónica,12.0,14658.33
Tablet,Accesorios,466.0,16278.33
Teclado,Electrónica,19.0,681.86
,Electrónica,382.0,16844.9
Monitor,Accesorios,77.0,
Teclado,Accesorios,371.0,380.17
Laptop,Electrónica,454.0,
Tablet,Electrónica,,
Mouse,,34.0,7452.56
Laptop,Accesorios,168.0,7216.78
Tablet,Accesorios,259.0,10695.01
Mouse,Accesorios,345.0,9457.95
Tablet,Electrónica,356.0,18815.64
,,275.0,9589.97
Teclado,Accesorios,285.0,10841.82
Laptop,Accesorios,277.0,2151.7
Teclado,Electrónica,207.0,4591.87
Monitor,Electrónica,,17070.93
Tablet,Electrónica,370.0,10938.88
Mouse,,438.0,16030.55
Teclado,,143.0,14584.85
,Accesorios,95.0,8766.26
Teclado,,65.0,15466.15
Mouse,Electrónica,289.0,1224.63
Laptop,Electrónica,288.0,12877.66
Laptop,Electrónica,292.0,19676.43
Tablet,Electrónica,46.0,
Teclado,Electrónica,205.0,5300.62
Laptop,Accesorios,116.0,
Laptop,Accesorios,441.0,8507.39
Laptop,Accesorios,282.0,12528.7
Monitor,Electrónica,430.0,19347.81
Laptop,Electrónica,348.0,16138.79
Monitor,Electrónica,420.0,9947.48
,,339.0,13923.7
Tablet,Electrónica,477.0,3994.82
Monitor,Accesorios,283.0,8806.03
Monitor,Electrónica,111.0,11467.13
Teclado,Electrónica,132.0,6101.33
Teclado,Accesorios,484.0,7377.59
,Accesorios,56.0,221.47
Laptop,Accesorios,345.0,11934.8
Mouse,Accesorios,255.0,19597.22
Monitor,Electrónica,351.0,17278.34
Tablet,Electrónica,330.0,2707.86
Monitor,Accesorios,243.0,
Tablet,,61.0,8078.97
Teclado,Accesorios,407.0,13067.83
Teclado,Accesorios,123.0,11706.95
Monitor,Accesorios,164.0,10634.9
,Accesorios,371.0,3799.82
Laptop,Electrónica,402.0,14515.47
Teclado,Accesorios,226.0,15883.13
Teclado,Accesorios,115.0,18105.58
,Accesorios,430.0,11605.01
Teclado,Electrónica,44.0,6377.2
Tablet,Electrónica,205.0,18936.95
Laptop,Electrónica,126.0,16539.1
Teclado,Accesorios,42.0,11095.41
Monitor,Accesorios,203.0,16725.51
Teclado,Electrónica,343.0,6693.79
,Electrónica,321.0,15751.38
Teclado,Electrónica,444.0,15004.59
Mouse,Electrónica,147.0,
Monitor,Accesorios,137.0,8950.41
Tablet,,287.0,19334.22
Tablet,,185.0,18517.79
Tablet,Accesorios,404.0,
Mouse,Accesorios,151.0,4788.46
,Electrónica,415.0,276.66
Mouse,Electrónica,118.0,7728.05
Tablet,Accesorios,,615.69
Teclado,,372.0,1854.57
Tablet,Electrónica,42.0,13638.23
Mouse,Electrónica,67.0,
Laptop,Electrónica,19.0,
Laptop,Electrónica,328.0,11841.72
Tablet,Electrónica,278.0,15411.72
Laptop,Accesorios,367.0,8194.34
Mouse,Electrónica,415.0,11999.63
Mouse,Electrónica,131.0,15867.6
Monitor,Electrónica,65.0,15004.38
Teclado,Accesorios,410.0,8212.12
Laptop,Electrónica,105.0,6556.45
Tablet,Electrónica,369.0,8225.25
Tablet,Electrónica,90.0,1550.42
Monitor,Electrónica,218.0,8963.81
Monitor,Accesorios,154.0,19742.58
Mouse,Accesorios,212.0,11692.22
Teclado,Electrónica,390.0,
Tablet,Electrónica,374.0,3461.44
Laptop,Electrónica,266.0,16439.71
Tablet,Accesorios,139.0,17080.63
Mouse,Accesorios,69.0,
,Accesorios,5.0,18281.52
Laptop,Accesorios,,4684.53
Teclado,Electrónica,84.0,7550.2
Monitor,Electrónica,427.0,203.31
Mouse,Electrónica,33.0,18810.81
Teclado,Electrónica,327.0,13812.67
Laptop,Accesorios,130.0,16899.74
Tablet,Electrónica,320.0,17975.35
Tablet,Electrónica,37.0,15570.71
Laptop,Electrónica,304.0,7704.57
Tablet,Electrónica,185.0,6452.02
Teclado,Accesorios,177.0,3643.88
Laptop,Electrónica,386.0,15690.68
Teclado,Accesorios,108.0,17126.93
,,,15703.82
Mouse,Electrónica,326.0,10877.88
Teclado,,344.0,9223.44
Teclado,Accesorios,446.0,186.06
Laptop,,253.0,11831.95
Tablet,Electrónica,388.0,16878.65
Mouse,Accesorios,216.0,13041.95
Laptop,Electrónica,,3057.33
Laptop,Accesorios,,
Monitor,Accesorios,271.0,7224.55
Mouse,,,17712.59
Monitor,Electrónica,64.0,16693.81
Laptop,Electrónica,91.0,4888.53
Mouse,,,12509.95
Laptop,Electrónica,429.0,
Monitor,Accesorios,457.0,4259.62
Laptop,Accesorios,85.0,14198.2
Monitor,Electrónica,59.0,13871.13
Tablet,Electrónica,72.0,
Monitor,Electrónica,348.0,812.81
Monitor,Electrónica,180.0,
Laptop,Electrónica,399.0,19702.46
Laptop,Electrónica,215.0,1639.25
Teclado,Accesorios,446.0,16626.24
Laptop,Electrónica,351.0,6777.78
Mouse,Electrónica,218.0,9200.19
Tablet,,362.0,2747.26
Tablet,Accesorios,23.0,16159.16
Teclado,Accesorios,159.0,
Mouse,Accesorios,158.0,7148.37
Laptop,Accesorios,421.0,1588.55
Mouse,Accesorios,217.0,4830.13
Monitor,Accesorios,242.0,9239.38
Tablet,Accesorios,332.0,151.41
Teclado,Electrónica,479.0,7987.19
Tablet,Electrónica,154.0,2599.65
Mouse,Electrónica,70.0,17017.47
Monitor,Electrónica,473.0,15138.81
Teclado,Electrónica,186.0,17860.23
Teclado,Accesorios,115.0,1106.46
Tablet,Accesorios,,13808.57
,Accesorios,20.0,8052.61
Laptop,Accesorios,109.0,9706.21
,Accesorios,140.0,13648.69
Teclado,Accesorios,34.0,10816.23
Tablet,Electrónica,404.0,8248.22
Laptop,Accesorios,401.0,8799.73
Tablet,Electrónica,163.0,18251.42
Mouse,Electrónica,354.0,1713.97
Tablet,Electrónica,436.0,18519.19
Teclado,Electrónica,384.0,1380.52
Mouse,Electrónica,12.0,
Tablet,Accesorios,388.0,10244.64
Mouse,Electrónica,,11396.22
Teclado,Electrónica,201.0,
Laptop,Accesorios,274.0,11305.95
Teclado,Electrónica,26.0,2009.29
Teclado,Electrónica,230.0,4047.04
Teclado,Electrónica,302.0,5921.08
Tablet,Electrónica,294.0,12651.56
Mouse,Accesorios,421.0,14505.95
Laptop,Accesorios,295.0,9272.56
Mouse,Accesorios,83.0,7813.73
Monitor,Electrónica,288.0,17545.41
Monitor,Accesorios,490.0,15259.05
Laptop,,299.0,12552.24
Tablet,Accesorios,400.0,2849.65
Mouse,Electrónica,359.0,269.37
Monitor,Accesorios,118.0,5873.97
Teclado,Accesorios,21.0,19126.03
Tablet,Accesorios,403.0,10489.79
Mouse,Electrónica,468.0,18434.38
,Electrónica,397.0,19762.15
Mouse,Accesorios,327.0,266.32
Tablet,Electrónica,324.0,
Tablet,Accesorios,261.0,
Monitor,Electrónica,427.0,203.31
Mouse,Electrónica,353.0,3083.96
Mouse,Accesorios,488.0,5762.81
Tablet,Electrónica,42.0,13638.23
,Accesorios,284.0,
,Electrónica,,672.49
Mouse,Electrónica,449.0,1664.62
Teclado,Electrónica,458.0,5735.61
Laptop,,408.0,4822.01
Teclado,Accesorios,475.0,1421.31
Mouse,Accesorios,60.0,15990.29
,Accesorios,243.0,14842.08
Teclado,Electrónica,,15691.64
Tablet,Accesorios,265.0,7229.41
Tablet,Electrónica,426.0,1845.76
Monitor,,68.0,11483.67
Mouse,Electrónica,286.0,17992.82
Mouse,Electrónica,424.0,2440.41
Mouse,Electrónica,187.0,19602.49
Tablet,Accesorios,,615.69
Tablet,Accesorios,427.0,
Laptop,Accesorios,24.0,15300.3
Monitor,Accesorios,286.0,5984.91
Teclado,Accesorios,154.0,7075.77
Teclado,Electrónica,114.0,12778.44
Monitor,,137.0,14760.09
Laptop,Accesorios,76.0,5685.9
Tablet,,231.0,10664.56
Teclado,Electrónica,456.0,7145.52
,Accesorios,71.0,14875.73
,Electrónica,353.0,2989.83
Monitor,Accesorios,204.0,3662.88
Monitor,Electrónica,378.0,12083.17
Monitor,Accesorios,351.0,17748.88
Tablet,Accesorios,139.0,17080.63
Mouse,Electrónica,299.0,3052.68
Teclado,Electrónica,406.0,12111.68
Tablet,Electrónica,205.0,18936.95
Tablet,Accesorios,466.0,16278.33
Teclado,Electrónica,332.0,12184.76
Tablet,Electrónica,374.0,16707.05
Mouse,Accesorios,125.0,
Teclado,Electrónica,479.0,7987.19
Teclado,Accesorios,177.0,3643.88
Laptop,Accesorios,321.0,14538.63
Tablet,Accesorios,114.0,8032.81
Tablet,Accesorios,155.0,17894.49
,Electrónica,,14622.05
Mouse,,,1201.69
Mouse,Electrónica,31.0,1928.24
